0	116.047	150.688
0	116.314	151.449
0.001	116.552	152.177
0.002	116.764	152.867
0.003	116.953	153.521
0.004	117.124	154.141
0.005	117.28	154.73
0.006	117.424	155.293
0.007	117.56	155.832
0.008	117.691	156.351
0.009	117.939	156.975
0.01	118.143	157.559
0.011	118.204	157.99
0.012	118.293	158.43
0.013	118.36	158.838
0.014	118.435	159.237
0.015	118.516	159.628
0.016	118.602	160.013
0.017	118.691	160.39
0.018	118.782	160.761
0.019	118.897	161.146
0.02	118.99	161.503
0.021	119.147	161.917
0.022	119.27	162.298
0.023	119.524	162.807
0.024	119.707	163.266
0.025	119.856	163.697
0.026	119.872	163.988
0.027	119.896	164.266
0.028	119.946	164.553
0.029	119.979	164.811
0.03	120.047	165.094
0.031	120.08	165.338
0.032	120.115	165.575
0.033	120.15	165.807
0.034	120.186	166.034
0.035	120.223	166.256
0.036	120.409	166.565
0.037	120.347	166.785
0.038	120.377	167
0.039	120.421	167.216
0.04	120.469	167.428
0.041	120.485	167.683
0.042	120.507	167.876
0.043	120.533	168.061
0.044	120.561	168.238
0.045	120.59	168.41
0.046	120.655	168.613
0.047	120.688	168.78
0.048	120.721	168.943
0.049	120.771	169.122
0.05	120.748	169.317
0.051	120.788	169.459
0.052	120.822	169.603
0.053	120.854	169.746
0.054	120.885	169.889
0.055	120.916	170.031
0.056	120.947	170.172
0.057	120.902	170.348
0.058	121.067	170.539
0.059	121.053	170.664
0.06	121.078	170.807
0.061	121.116	170.95
0.062	121.302	171.199
0.063	121.303	171.307
0.064	121.325	171.425
0.065	121.427	171.551
0.066	121.431	171.67
0.067	121.515	171.798
0.068	121.507	171.916
0.069	121.497	172.004
0.07	121.528	172.128
0.071	121.627	172.319
0.072	121.706	172.411
0.073	121.78	172.583
0.074	121.814	172.71
0.075	121.875	172.831
0.076	122.011	173.07
0.077	122.07	173.207
0.078	121.994	173.332
0.079	121.994	173.431
0.08	122.141	173.673
0.081	122.088	173.708
0.082	122.084	173.794
0.083	122.082	173.877
0.084	122.08	173.956
0.085	122.12	174.032
0.086	122.071	174.071
0.087	122.044	174.132
0.088	122.021	174.194
0.089	122.001	174.255
0.09	121.983	174.315
0.091	121.966	174.374
0.092	121.951	174.432
0.093	121.935	174.487
0.094	121.921	174.542
0.095	121.906	174.595
0.096	121.892	174.647
0.097	121.879	174.699
0.098	121.865	174.749
0.099	121.852	174.799
0.1	121.839	174.848
0.101	121.827	174.897
0.102	121.815	174.946
0.103	121.806	174.996
0.104	121.794	175.043
0.105	121.783	175.09
0.106	121.771	175.136
0.107	121.835	175.191
0.108	121.8	175.238
0.109	121.77	175.284
0.11	121.745	175.331
0.111	121.704	175.335
0.112	121.692	175.379
0.113	121.683	175.426
0.114	121.677	175.477
0.115	121.725	175.529
0.116	121.699	175.579
0.117	121.677	175.627
0.118	121.66	175.675
0.119	121.647	175.724
0.12	121.636	175.771
0.121	121.626	175.816
0.122	121.616	175.86
0.123	121.607	175.903
0.124	121.499	175.911
0.125	121.501	175.956
0.126	121.501	176.001
0.127	121.496	176.041
0.128	121.491	176.081
0.129	121.485	176.121
0.13	121.479	176.162
0.131	121.475	176.204
0.132	121.467	176.242
0.133	121.46	176.28
0.134	121.452	176.318
0.135	121.502	176.346
0.136	121.471	176.37
0.137	121.444	176.398
0.138	121.421	176.428
0.139	121.403	176.462
0.14	121.39	176.498
0.141	121.378	176.536
0.142	121.369	176.574
0.143	121.364	176.615
0.144	121.356	176.652
0.145	121.349	176.69
0.146	121.343	176.727
0.147	121.336	176.763
0.148	121.33	176.8
0.149	121.326	176.837
0.15	121.322	176.875
0.151	121.316	176.911
0.152	121.311	176.947
0.153	121.306	176.983
0.154	121.301	177.019
0.155	121.297	177.055
0.156	121.293	177.092
0.157	121.29	177.129
0.158	121.287	177.164
0.159	121.283	177.2
0.16	121.279	177.235
0.161	121.275	177.271
0.162	121.272	177.306
0.163	121.269	177.342
0.164	121.268	177.379
0.165	121.265	177.414
0.166	121.262	177.449
0.167	121.259	177.484
0.168	121.259	177.522
0.169	121.254	177.532
0.17	121.209	177.598
0.171	121.212	177.632
0.172	121.216	177.667
0.173	121.218	177.702
0.174	121.154	177.672
0.175	121.127	177.68
0.176	121.111	177.706
0.177	121.096	177.733
0.178	121.084	177.761
0.179	121.073	177.789
0.18	121.062	177.817
0.181	121.053	177.845
0.182	121.044	177.873
0.183	121.035	177.902
0.184	121.027	177.93
0.185	121.019	177.958
0.186	121.012	177.986
0.187	121.004	178.014
0.188	120.997	178.043
0.189	120.991	178.07
0.19	120.968	178.144
0.191	120.97	178.171
0.192	121.024	178.186
0.193	121.003	178.213
0.194	121.041	178.221
0.195	121.008	178.257
0.196	120.988	178.276
0.197	120.94	178.275
0.198	120.936	178.302
0.199	121.009	178.317
0.2	120.982	178.364
0.201	120.958	178.405
0.202	120.909	178.401
0.203	120.955	178.408
0.204	120.931	178.444
0.205	120.909	178.475
0.206	120.87	178.501
0.207	120.867	178.522
0.208	120.914	178.546
0.209	120.887	178.572
0.21	120.865	178.597
0.211	120.87	178.558
0.212	120.85	178.588
0.213	120.832	178.616
0.214	120.878	178.662
0.215	120.775	178.697
0.216	120.773	178.672
0.217	120.774	178.673
0.218	120.747	178.7
0.219	120.733	178.727
0.22	120.704	178.702
0.221	120.699	178.724
0.222	120.64	178.757
0.223	120.639	178.77
